cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
6,0,inf,inf,11,"[66, 52, 44, 21, 71, 11, 33, 8, 29, 9, 16]","[13, 11, 10, 6, 12, 2, 9, 3, 7, 1, 4]",3.4830860746121286,0.138068079713777,-56.25277258538168,-171.0844072826012,1023.4427897153041,-1893.4345972537994,2782,-0.1352647593075041,raw_lidar_xy_decimated,8413,0.5,1.3463928546786406,-57.59916544006031,14,1.0,587.5891272319968,991,-1899.828,solution,-167.59472048422742,1023.0421695495714,-1893.4251669024616,6.402833097538377,3.5126073603430163,0.00943035133786907
7,0,inf,inf,11,"[223, 16, 34, 66, 33, 44, 9, 52, 11, 29, 43]","[11, 2, 4, 9, 3, 7, 0, 8, 1, 5, 6]",4.410407668904782,0.17878069343292205,-66.4304530817098,-150.49750371277435,968.2007483468113,-1894.1464947462082,2062,-0.11524393860170622,raw_lidar_xy_decimated,6767,0.5,0.12727292852065375,-66.55772601023044,12,1.0,229.5127674630021,1053,-1899.828,solution,-148.96269927511116,964.6644236579679,-1894.1719930019128,5.656006998087141,3.8550248983365236,0.025498255704633266
6,0,inf,inf,17,"[52, 44, 43, 31, 9, 11, 12, 240, 223, 14, 22, 180, 20, 23, 140, 29, 66]","[13, 11, 10, 6, 0, 1, 3, 19, 18, 4, 8, 17, 5, 7, 15, 9, 14]",7.045962354678418,0.15347146384167526,-75.25051700807225,-139.03748554856224,936.8187209530537,-1893.915891200304,2698,-0.06641873492812975,raw_lidar_xy_decimated,8557,0.5,0.1278876769300723,-75.12262933114216,20,1.0,170.0599577690009,1084,-1899.828,solution,-137.88139935203117,935.1521560029894,-1893.9378621056023,5.89013789439761,2.0282933778407184,0.021970905298303478
7,0,inf,inf,16,"[12, 11, 25, 37, 9, 43, 223, 52, 14, 44, 140, 23, 240, 31, 29, 22]","[3, 2, 8, 10, 0, 12, 18, 14, 4, 13, 15, 6, 17, 7, 5, 9]",2.9914484281468456,0.11293511777095512,-93.39727286149687,-135.8457879110425,926.9183083610147,-1893.7495223283768,2550,-0.06810396171421548,raw_lidar_xy_decimated,10271,0.5,0.009805275784344758,-93.38746758571254,19,1.0,170.8549595780023,1093,-1899.828,solution,-136.07286630767078,926.2703201327631,-1893.7925984229075,6.035401577092417,0.6866246006137174,0.04307609453076111
7,0,inf,inf,13,"[37, 31, 25, 43, 12, 9, 44, 52, 240, 46, 22, 23, 140]","[6, 3, 2, 7, 1, 0, 9, 11, 13, 10, 5, 4, 12]",3.219929515755582,0.15526725646072762,-97.82840649555925,-136.258094603218,924.4729443667908,-1893.8122826814651,2060,-0.07941333005158957,raw_lidar_xy_decimated,10042,0.5,1.1695206884667755,-96.65888580709246,15,1.0,205.97506877399792,1096,-1899.828,solution,-136.37462400740242,923.2314407269382,-1893.8752400209466,5.9527599790533126,1.2469604604023117,0.06295733948149973
6,0,inf,inf,6,"[223, 23, 240, 140, 52, 51]","[5, 0, 6, 3, 2, 1]",6.4064761828776975,0.2745327683335127,-84.76242794977841,-137.07562914958626,910.8735515052867,-1894.6283695697784,2686,-0.04266788134143867,raw_lidar_xy_decimated,4419,0.5,0.7398404015120832,-85.50226835129048,7,1.0,361.0620044629977,1109,-1899.828,solution,-137.0457050631918,910.1050368925481,-1894.6364704743548,5.191529525645232,0.7690969775908132,0.008100904576394896
8,0,inf,inf,8,"[185, 46, 51, 140, 11, 42, 125, 119]","[7, 2, 3, 6, 0, 1, 5, 4]",6.795385636727972,0.07863026051229607,-33.06384778838534,-106.54538669713845,858.9304334762669,-1894.4734608530998,2131,-0.0471465740598505,raw_lidar_xy_decimated,5664,0.5,0.48795817408870334,-33.55180596247404,8,1.0,437.37956369199674,1170,-1899.828,solution,-104.90452885993852,859.2502407219906,-1894.481441111303,5.34655888869699,1.671732968005904,0.007980258203133417
8,0,inf,inf,5,"[185, 53, 119, 46, 42]","[5, 2, 3, 1, 0]",1.4812945535360904,0.0561540309746613,-53.862383897858145,-93.45514251759825,845.1150644535555,-1894.6219586730003,288,-0.04328398073821013,raw_lidar_xy_decimated,5238,0.5,0.9981858988187469,-52.86419799903938,6,1.0,168.46020044099714,1188,-1899.828,solution,-93.28874465726699,845.4714325590583,-1894.6218219521838,5.206178047816109,0.3933020144143964,0.00013672081649929169
8,0,inf,inf,5,"[45, 46, 119, 53, 42]","[1, 3, 5, 4, 0]",2.696788720550011,0.041527655981832876,-56.86061377951691,-69.90536117615551,814.2056612281273,-1894.6771247386932,267,-0.0433289732142768,raw_lidar_xy_decimated,4964,0.5,0.85700830520463,-57.71762208472154,6,1.0,160.02334857700043,1229,-1899.828,solution,-68.99107502044467,813.6743143198627,-1894.7003131209292,5.1276868790707315,1.057472794660388,0.02318838223595776
8,0,inf,inf,8,"[162, 101, 185, 46, 40, 24, 57, 83]","[8, 6, 9, 2, 1, 0, 3, 4]",2.5696460918645267,0.13352935328900103,-58.8227908471573,-48.80121462716821,779.5112292347276,-1894.1450857520103,2542,-0.04063897650986919,raw_lidar_xy_decimated,7574,0.5,0.23718220482629704,-59.05997305198358,10,1.0,458.2781267770006,1269,-1899.828,solution,-48.131881828337896,778.6994615788142,-1894.1632037006584,5.664796299341507,1.0521279022899988,0.018117948648068705
