frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
56,000056,east_plateau_safe,apollo15rille_east_plateau_safe_03,56,201016677150,scans/000056.npy,poses/000056.npy,transforms/000056.npz,global_dem,-641.0624558578779,1796.4120250221927,0.4013672503819748,0.04236366251828115,-0.015074435219327572,-0.48946096042616516,0.8708651156864372,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
57,000057,east_plateau_safe,apollo15rille_east_plateau_safe_03,57,204066677309,scans/000057.npy,poses/000057.npy,transforms/000057.npz,global_dem,-640.5442997743284,1795.5519252489294,0.39453131399627767,0.04529291082983779,-0.02543377888146354,-0.48988452673124633,0.8702383728552034,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
58,000058,east_plateau_safe,apollo15rille_east_plateau_safe_03,58,207133344136,scans/000058.npy,poses/000058.npy,transforms/000058.npz,global_dem,-640.0256401505212,1794.6858592891786,0.4023438151177105,0.04940681832025166,-0.02920184775399213,-0.48927978959874885,0.870236465497411,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
59,000059,east_plateau_safe,apollo15rille_east_plateau_safe_03,59,210216677630,scans/000059.npy,poses/000059.npy,transforms/000059.npz,global_dem,-639.5050426604085,1793.8172031500646,0.4172363943675723,0.045532917344486126,-0.039029541972166466,-0.48820093988713076,0.870668301125558,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
60,000060,east_plateau_safe,apollo15rille_east_plateau_safe_03,60,213300011124,scans/000060.npy,poses/000060.npy,transforms/000060.npz,global_dem,-638.9824977673638,1792.9490963274413,0.44226080955466435,0.03810747060579678,-0.03953554143750964,-0.4853339713409912,0.8726028294187759,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
61,000061,east_plateau_safe,apollo15rille_east_plateau_safe_03,61,216400011286,scans/000061.npy,poses/000061.npy,transforms/000061.npz,global_dem,-638.45025972861,1792.082072879216,0.4798584669298595,0.03262693299151294,-0.04188383027387643,-0.48554929383999407,0.872595617257295,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
62,000062,east_plateau_safe,apollo15rille_east_plateau_safe_03,62,219516678115,scans/000062.npy,poses/000062.npy,transforms/000062.npz,global_dem,-637.9176516640551,1791.210529014753,0.5250244836854546,0.02855433287822802,-0.048440616209436634,-0.4855323243794379,0.8724084586693494,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
63,000063,east_plateau_safe,apollo15rille_east_plateau_safe_03,63,222666678279,scans/000063.npy,poses/000063.npy,transforms/000063.npz,global_dem,-637.3830561418949,1790.330020611806,0.5838623754520018,0.023246023780569072,-0.05239830602853153,-0.48354870937097355,0.8734384268907565,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
64,000064,east_plateau_safe,apollo15rille_east_plateau_safe_03,64,225750011773,scans/000064.npy,poses/000064.npy,transforms/000064.npz,global_dem,-636.850440448347,1789.4691884172903,0.6499024156324726,0.021759305690857506,-0.05306172955208427,-0.4851908888424627,0.8725255221809012,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
65,000065,east_plateau_safe,apollo15rille_east_plateau_safe_03,65,228850011935,scans/000065.npy,poses/000065.npy,transforms/000065.npz,global_dem,-636.3208498093518,1788.598151907475,0.7147217526993844,0.024399853128777627,-0.04986799187092619,-0.48282872583301273,0.8739532321952501,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
66,000066,east_plateau_safe,apollo15rille_east_plateau_safe_03,66,231966678764,scans/000066.npy,poses/000066.npy,transforms/000066.npz,global_dem,-635.7820733792223,1787.7239377551734,0.7751465585218236,0.02520676534188322,-0.04543128675526097,-0.4849561668449232,0.872993776268674,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
67,000067,east_plateau_safe,apollo15rille_east_plateau_safe_03,67,235000012256,scans/000067.npy,poses/000067.npy,transforms/000067.npz,global_dem,-635.2586205887336,1786.8693502197143,0.8181153096306565,0.02724054893010427,-0.03448497663643561,-0.4858968766503865,0.8729106278089243,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
68,000068,east_plateau_safe,apollo15rille_east_plateau_safe_03,68,238033345747,scans/000068.npy,poses/000068.npy,transforms/000068.npz,global_dem,-634.7320130436182,1786.0152242627094,0.8341065216770572,0.02803988444274006,-0.02043782921646742,-0.4861674790799147,0.8731765241361206,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
69,000069,east_plateau_safe,apollo15rille_east_plateau_safe_03,69,241100012574,scans/000069.npy,poses/000069.npy,transforms/000069.npz,global_dem,-634.205294872053,1785.1549680871933,0.8419190227932052,0.028653805257676003,-0.018217924051177517,-0.48690735558808146,0.8727933854938077,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
70,000070,east_plateau_safe,apollo15rille_east_plateau_safe_03,70,244166679400,scans/000070.npy,poses/000070.npy,transforms/000070.npz,global_dem,-633.6779930517695,1784.293742978589,0.8463135551606085,0.031161972393577594,-0.01968456893045928,-0.4881870497057576,0.871960351003503,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
71,000071,east_plateau_safe,apollo15rille_east_plateau_safe_03,71,247250012895,scans/000071.npy,poses/000071.npy,transforms/000071.npz,global_dem,-633.1507789691815,1783.4233549671396,0.8420410953512949,0.03568048243407751,-0.01573827070090197,-0.4891260378830298,0.8713408799508179,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
72,000072,east_plateau_safe,apollo15rille_east_plateau_safe_03,72,250333346389,scans/000072.npy,poses/000072.npy,transforms/000072.npz,global_dem,-632.6216079467993,1782.550472143724,0.8148194167953017,0.045201491504798116,-0.0038665792034175347,-0.48814802254273437,0.8715809674485919,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
73,000073,east_plateau_safe,apollo15rille_east_plateau_safe_03,73,254466679938,scans/000073.npy,poses/000073.npy,transforms/000073.npz,global_dem,-632.1003867540745,1781.6927107799436,0.7615967616574427,0.051257272969426254,0.0030850220955631683,-0.489168445664315,0.8706764073826543,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
