estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
118.44389128156972,-287.9630001986172,1251.9327578821421,-1895.0599057674408,0.08037068649507756,116.49237437396158,darces,-288.72038984712196,1253.1242126573597,3.3533861788194455,19.68128371565225,2315,-1899.828,solution,-288.7090173735028,1253.7370503077582,-1895.1119347759984,4.71606522400161,1.9524376513373476,0.05202900855761072
118.92901316191738,-316.0678555951505,1315.802997026962,-1894.3634250164032,0.06270772128968964,117.63465392519831,darces,-317.57269102653834,1313.708489763887,0.4601035907280718,4.514485198423473,2384,-1899.828,solution,-319.0727281733838,1315.8246956663638,-1894.4144250894456,5.4135749105544635,3.0049509217906154,0.05100007304235987
112.64665091840843,-501.2103032260269,1763.6044076045698,-1898.0803740024567,0.02289724390195881,114.14078683683638,darces,-500.29496030582914,1767.326991043773,1.6806505764301973,11.996023463564597,2428,-1899.828,solution,-338.9284120321419,1355.8628724208957,-1893.5599329529898,6.268067047010194,438.84914460826207,4.520441049466854
114.5288670372573,-337.31334976130637,1357.6931771819402,-1893.5426228046417,0.1217391738010529,118.99111251092364,ransac,-339.01280928032355,1354.4272989385267,0.6108970370200558,12.202686711186825,2429,-1899.828,solution,-339.3455263245622,1356.7953370050918,-1893.5064661572949,6.321533842705193,2.2216792224372286,0.036156647346842874
109.44287881527295,-347.89505157370394,1377.676407966912,-1892.1428419351578,0.12499419696304337,109.47673851864995,darces,-348.739166954554,1375.712645005476,0.9311199455003261,5.243893334207169,2452,-1899.828,solution,-350.1946481825175,1377.3853329419646,-1892.2172816133561,7.610718386643936,2.317945045382834,0.07443967819835962
124.15694801982707,-198.40742356732738,2063.169254812532,-1903.907152414322,0.07040347228479998,121.69754315003881,darces,-198.73216436659234,2062.310886834867,0.350569097717538,4.617209011075514,2472,-1899.828,solution,-360.5715103970646,1394.6942314831288,-1891.8796351513959,7.948364848604207,687.8633933220816,12.02751726292604
121.36497643238955,-366.1040469601298,1451.1187930107667,-1892.1604497432709,0.043679844871416434,122.89922381615145,ransac,-365.5549063133779,1451.3688361301733,1.6501964871382793,9.506514422626928,2505,-1899.828,solution,-380.2226954846191,1421.7974106850872,-1892.354488702779,7.473511297221079,32.543504692130696,0.1940389595081342
,,,,,,none,,,,,2509,-1899.828,feature_pose_unavailable,-382.3346951230024,1425.2122360459568,-1892.5424769884637,7.285523011536374,,
,,,,,,none,,,,,2516,-1899.828,feature_pose_unavailable,-385.3497710441015,1431.616807466531,-1893.18713031691,6.640869683089992,,
87.17952590825965,-386.73280497076684,1455.4705961615564,-1893.5807322263718,0.07925908630001695,83.88399856195156,darces,-388.11969042556933,1452.8718502699057,0.27774629512249116,6.459707693122958,2540,-1899.828,solution,-385.8628944997655,1455.7960982186164,-1893.493160618947,6.334839381052846,0.9288141992390438,0.0875716074247066
97.39719311216241,-385.3197700902739,1456.7497748909152,-1893.4248585700989,0.01794255578676934,96.71745650526024,darces,-385.525775352072,1457.0437489426747,0.03478564803581313,0.38617549484488856,2542,-1899.828,solution,-385.98026518064256,1457.8286909876535,-1893.5316127698031,6.296387230196764,1.2650350620446105,0.10675419970425537
120.62984620055329,-517.8327678805008,1935.2946685935142,-1898.0710131004453,0.04867471602514154,111.57868905607887,ransac,-513.4477188880378,1935.3564448378274,0.4704394626239249,42.67417696269039,2628,-1899.828,solution,-425.88560249621645,1534.4642180684048,-1896.1491665788112,3.6788334211888034,411.2412081617881,1.921846521634052
,,,,,,none,,,,,2655,-1899.828,feature_pose_unavailable,-439.7459854522487,1558.07435549324,-1896.4484830155789,3.3795169844211297,,
112.91155220051904,-464.49622451111526,1604.8890443599103,-1897.4707880020142,0.0017023298812662785,113.40177082148207,darces,-464.6158993234278,1605.1499053723828,0.611669144693029,3.3481693872169207,2709,-1899.828,solution,-465.3002169869732,1606.5496658232137,-1897.4487272182982,2.3792727817017023,1.8450115299423462,0.022060783715915022
